,STAMINA 2.0 (PRISM),STAMINA 2.0 (Storm),
Model,Total Count,Total Count,(Without Absorbing)
Circuit 010 to 100,85160,87902,87901
Circuit 010 to 111,3527020,2479199,2479198
Circuit 100 to 111,3568525,2510758,2510757
Circuit 111 to 010,467635,490145,490144
Circuit 100 to 010,165043,175194,175193
Circuit 111 to 100,406424,425443,425442
Circuit 000 to 011,2543695,1839612,1839611
Circuit 011 to 101,2813395,2083422,2083421
Circuit 000 to 101,2829690,2177639,2177638
Circuit 101 to 000,327687,337394,337393
Circuit 011 to 000,381372,381372,381371
Circuit 101 to 011,3006113,2302933,2302932
Tandem 2047,21293,21293,21292
Tandem 4095,42469,42469,42468
Polling N = 12*,1,2,1
Polling N = 16*,1,2,1
Polling N = 20*,1,2,1
Jackson (5 N 4),187443,257265,257264
Jackson (5 N 5),1480045,1896415,1896414
Toggle 0,4231,4231,4230
Toggle 100,6664,6762,6761
